Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
05513PC20001,3D HARD LABEL ON THE RIGHT FENDER,SRV 600 V,34230,3765,37995,SLOW,BODY,1
05514KAEBL00,RIGHT PROTECTIVE PLATE DECAL II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05514KAEH500,RIGHT PROTECTIVE PLATE DECAL II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05514KAERG00,RIGHT PROTECTIVE PLATE DECAL II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05514KAES600,RIGHT PROTECTIVE PLATE DECAL II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05514KAEWS00,RIGHT PROTECTIVE PLATE DECAL II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05514M79E703,RIGHT PROTECTIVE PLATE DECAL II,AX 180  (VIENTO) ABS,17120,1883,19003,MEDIUM,BODY,1
05514M79H500,LEFT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05514M79K500,LEFT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05514M79RG03,RIGHT PROTECTIVE PLATE DECAL II,AX 180  (VIENTO) CBS,17120,1883,19003,MEDIUM,BODY,1
05514M79VM03,RIGHT PROTECTIVE PLATE DECAL II,AX 180  (VIENTO) ABS,28520,3137,31657,MEDIUM,BODY,1
05515M79E703,LEFT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05515M79H500,RIGHT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05515M79K500,RIGHT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05515M79RG03,LEFT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05515M79VM03,LEFT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,28520,3137,31657,MEDIUM,BODY,1
05515M79WS03,LEFT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) CBS,5710,628,6338,MEDIUM,BODY,1
05515N93BL00,MODEL DECAL,SRV 250 AL (LIBERO),11410,1255,12665,MEDIUM,BODY,1
05516M79E703,RIGHT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05516M79RG03,RIGHT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05516M79VM03,RIGHT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) ABS,28520,3137,31657,MEDIUM,BODY,1
05516M79WS03,RIGHT FRONT PROTECTIVE PANEL DECAL,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05521KAEBL00,LEFT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05521KAEH500,LEFT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05521KAERG00,LEFT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05521KAES600,LEFT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05521KAEWS00,LEFT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05521L79BW01,LEFT TRIM PANEL OF FRONT COWL PANEL LEFT DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
05521L79CX01,LEFT TRIM PANEL OF FRONT COWL PANEL LEFT DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
05521L79FB01,LEFT TRIM PANEL OF FRONT COWL PANEL LEFT DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
05521L79VM01,LEFT TRIM PANEL OF FRONT COWL PANEL LEFT DECAL,FORT 250  ADVENTURE CBS,22820,2510,25330,MEDIUM,BODY,1
05521M79E703,RIGHT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05521M79H500,LEFT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05521M79K500,LEFT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05521M79RG03,LEFT FRONT PANEL DECAL,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05521M79VM03,RIGHT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05521N59NJ00,LEFT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05521N59RG00,LEFT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05521N59VM00,LEFT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05521P380000,FRONT DECAL,FORT 250  ADVENTURE ABS,5710,628,6338,MEDIUM,BODY,1
05522KAEBL00,RIGHT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05522KAEH500,RIGHT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05522KAERG00,RIGHT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05522KAES600,RIGHT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05522KAEWS00,RIGHT DIFFUSER STICKER I,SRK 150 E (CITO),22820,2510,25330,MEDIUM,BODY,1
05522KU80000,RIGHT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05522L79BW01,FRONT COWL PANEL RIGHT TRIM PANEL DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
05522L79CX01,FRONT COWL PANEL RIGHT TRIM PANEL DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
05522L79FB01,FRONT COWL PANEL RIGHT TRIM PANEL DECAL,FORT 250  ADVENTURE ABS,22820,2510,25330,MEDIUM,BODY,1
05522L79VM01,FRONT COWL PANEL RIGHT TRIM PANEL DECAL,FORT 250  ADVENTURE CBS,22820,2510,25330,MEDIUM,BODY,1
05522M79E703,LEFT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05522M79RG03,RIGHT FRONT PANEL DECAL,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05522M79VM03,LEFT FRONT PANEL DECAL,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05522N59NJ00,RIGHT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05522N59RG00,RIGHT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05522N59VM00,RIGHT CONNECTING PLATE STICKER,FORD 250,11410,1255,12665,MEDIUM,BODY,1
05523KAEBL00,LEFT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05523KAEH500,LEFT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05523KAERG00,LEFT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05523KAES600,LEFT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05523KAEWS00,LEFT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05523L79BW01,FRONT HOOD BASE PLATE LEFT DECAL,FORT 250  ADVENTURE ABS,17120,1883,19003,MEDIUM,BODY,1
05523L79CX01,FRONT HOOD BASE PLATE LEFT DECAL,FORT 250  ADVENTURE ABS,17120,1883,19003,MEDIUM,BODY,1
05523L79FB01,FRONT HOOD BASE PLATE LEFT DECAL,FORT 250  ADVENTURE ABS,17120,1883,19003,MEDIUM,BODY,1
05523L79VM01,FRONT HOOD BASE PLATE RIGHT DECAL,FORT 250  ADVENTURE CBS,17120,1883,19003,MEDIUM,BODY,1
05523M79E703,LEFT SIDE CONNECTOR STICKER I,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05523M79H500,LEFT SIDE CONNECTOR STICKER,AX 180  (VIENTO) ABS,17120,1883,19003,MEDIUM,BODY,1
05523M79K500,LEFT SIDE CONNECTOR STICKER,AX 180  (VIENTO) ABS,17120,1883,19003,MEDIUM,BODY,1
05523M79PF03,LEFT SIDE CONNECTOR STICKER I,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05523M79RG03,LEFT SIDE CONNECTOR STICKER I,AX 180  (VIENTO) CBS,11410,1255,12665,MEDIUM,BODY,1
05523M79VM03,LEFT SIDE CONNECTOR STICKER I,AX 180  (VIENTO) ABS,22820,2510,25330,MEDIUM,BODY,1
05523P410000,SHROUD HARD MARK,FORD 250,45630,5019,50649,MEDIUM,OTHER,1
05523PC20001,FUEL TANK LABEL,SRV 600 V,51340,5647,56987,SLOW,BODY,1
05524KAEBL00,RIGHT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05524KAEH500,RIGHT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05524KAERG00,RIGHT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05524KAES600,RIGHT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05524KAEWS00,RIGHT DIFFUSER STICKER II,SRK 150 E (CITO),11410,1255,12665,MEDIUM,BODY,1
05524L79BW01,FRONT HOOD BASE PLATE RIGHT DECAL,FORT 250  ADVENTURE ABS,17120,1883,19003,MEDIUM,BODY,1
05524L79CX01,FRONT HOOD BASE PLATE RIGHT DECAL,FORT 250  ADVENTURE ABS,17120,1883,19003,MEDIUM,BODY,1
05524L79FB01,FRONT HOOD BASE PLATE RIGHT DECAL,FORT 250  ADVENTURE ABS,17120,1883,19003,MEDIUM,BODY,1
05524L79VM01,FRONT HOOD BASE PLATE LEFT DECAL,FORT 250  ADVENTURE CBS,17120,1883,19003,MEDIUM,BODY,1
05524M79E703,RIGHT CONNECTING PLATE DECAL I,AX 180  (VIENTO) ABS,11410,1255,12665,MEDIUM,BODY,1
05524M79H500,RIGHT CONNECTING PLATE DECAL,AX 180  (VIENTO) ABS,17120,1883,19003,MEDIUM,BODY,1
05524M79K500,RIGHT CONNECTING PLATE DECAL,AX 180  (VIENTO) ABS,17120,1883,19003,MEDIUM,BODY,1
