Part Code,Part Name,Motor Type,Retail,TAX,Harga Jual,Kategori Moving,Jenis Part,Prioritas
160306030300,BOLT M6×90,SRV 600 V,11410,1255,12665,FAST,FASTENER,1
160306030350,BOLT M6×55,SRV 600 V,11410,1255,12665,FAST,FASTENER,1
160306030380,BOLT M8×60,SRV 250 AMT,17120,1883,19003,FAST,FASTENER,1
160306030400,HEXAGONAL TORX BOLT M6×32,FORD 250,5710,628,6338,FAST,FASTENER,1
160306030420,BOLT M6×18,SRV 600 V,5710,628,6338,FAST,FASTENER,1
16901668MM01,LEFT COVER,SRK 800 RR,290900,31999,322899,MEDIUM,BODY,1
16901690MM02,RIGHT COVER,SRV 600 V,519050,57095,576145,MEDIUM,BODY,1
16902545BG01,LEFT COVER,FORD 250,849860,93484,943344,MEDIUM,BODY,1
16902659MM01,MAGNETO COVER,SRV 250 AMT,290900,31999,322899,MEDIUM,BODY,1
169026900000,RIGHT COVER NAMEPLATE,SRV 600 V,62750,6902,69652,MEDIUM,BODY,1
169046900000,HARNESS CLAMP,SRV 600 V,5710,628,6338,FAST,ELECTRICAL,1
169056900000,CLUTCH CABLE SUPPORT,SRV 600 V,11410,1255,12665,FAST,ENGINE,1
169076590000,LEFT COVER GASKET,SRV 250 AMT,22820,2510,25330,FAST,BODY,1
169076680000,LEFT REAR COVER ASSEMBLY,SRK 800 RR,51340,5647,56987,SLOW,BODY,1
16908657MM00,CRANKSHAFT OBSERVATION HOLE PLUG,SRV 250 AMT,17120,1883,19003,FAST,ENGINE,1
16908661BG00,"PLUG,COVER MAGNETO",FORD 250,22820,2510,25330,FAST,BODY,1
16909545BG01,RIGHT CRANKCASE COVER ASSEMBLY,FORD 250,382160,42037,424197,SLOW,ENGINE,1
169096900000,RIGHT COVER PRESSURE PLATE,SRV 600 V,62750,6902,69652,MEDIUM,BODY,1
16910706MM01,WATER PUMP RIGHT COVER ASSEMBLY,SRV 250 AMT,598900,65879,664779,SLOW,BODY,1
169115450000,RIGHT SIDE OF THE HEAD GASKET,FORD 250,22820,2510,25330,FAST,FASTENER,1
169116590000,CLUTCH INNER COVER GASKET,SRV 250 AMT,34230,3765,37995,FAST,ENGINE,1
16911668MM2X,RIGHT COVER,SRK 800 RR,439190,48310,487500,MEDIUM,BODY,1
169146680000,OIL LEVEL GAUGE,SRK 800 RR,22820,2510,25330,FAST,OIL_FLUID,1
